frame,abstime,reltime,Cursor 1 [C],Cursor 2 [C],Cursor 3 [C]
14899,16:35.3,14.249,3.53E+01,3.33E+01,3.10E+01
14900,16:35.3,14.31,3.53E+01,3.33E+01,3.10E+01
14901,16:35.4,14.375,3.53E+01,3.33E+01,3.09E+01
14902,16:35.5,14.438,3.53E+01,3.33E+01,3.10E+01
14903,16:35.5,14.501,3.53E+01,3.33E+01,3.10E+01
14904,16:35.6,14.561,3.52E+01,3.33E+01,3.10E+01
14905,16:35.7,14.624,3.52E+01,3.33E+01,3.10E+01
14906,16:35.7,14.687,3.52E+01,3.33E+01,3.10E+01
14907,16:35.8,14.754,3.52E+01,3.33E+01,3.10E+01
14908,16:35.8,14.811,3.52E+01,3.33E+01,3.10E+01
14909,16:35.9,14.876,3.52E+01,3.33E+01,3.10E+01
14910,16:36.0,14.938,3.52E+01,3.32E+01,3.10E+01
14911,16:36.0,14.999,3.52E+01,3.32E+01,3.10E+01
14912,16:36.1,15.062,3.52E+01,3.32E+01,3.10E+01
14913,16:36.2,15.124,3.55E+01,3.32E+01,3.10E+01
14914,16:36.2,15.186,3.74E+01,3.33E+01,3.09E+01
14915,16:36.3,15.25,4.14E+01,3.33E+01,3.09E+01
14916,16:36.3,15.313,4.59E+01,3.33E+01,3.10E+01
14917,16:36.4,15.373,4.92E+01,3.33E+01,3.09E+01
14918,16:36.5,15.438,5.32E+01,3.33E+01,3.10E+01
14919,16:36.5,15.501,5.68E+01,3.33E+01,3.10E+01
14920,16:36.6,15.564,5.62E+01,3.88E+01,3.13E+01
14921,16:36.7,15.626,5.54E+01,3.75E+01,3.14E+01
14922,16:36.7,15.688,5.53E+01,3.61E+01,3.13E+01
14923,16:36.8,15.75,5.53E+01,3.55E+01,3.12E+01
14924,16:36.8,15.813,5.55E+01,3.51E+01,3.12E+01
14925,16:36.9,15.875,5.58E+01,3.48E+01,3.12E+01
14926,16:37.0,15.937,5.60E+01,3.46E+01,3.12E+01
14927,16:37.0,15.998,5.64E+01,3.45E+01,3.12E+01
14928,16:37.1,16.062,5.67E+01,3.44E+01,3.11E+01
14929,16:37.2,16.123,5.70E+01,3.42E+01,3.11E+01
14930,16:37.2,16.186,5.73E+01,3.42E+01,3.11E+01
14931,16:37.3,16.249,5.76E+01,3.42E+01,3.11E+01
14932,16:37.3,16.312,5.80E+01,3.41E+01,3.12E+01
14933,16:37.4,16.373,5.82E+01,3.41E+01,3.12E+01
14934,16:37.5,16.435,5.90E+01,3.40E+01,3.12E+01
14935,16:37.5,16.5,6.05E+01,3.40E+01,3.12E+01
14936,16:37.6,16.563,6.21E+01,3.40E+01,3.12E+01
14937,16:37.7,16.624,6.33E+01,3.40E+01,3.12E+01
14938,16:37.7,16.685,6.47E+01,3.40E+01,3.12E+01
14939,16:37.8,16.75,6.56E+01,3.40E+01,3.12E+01
14940,16:37.8,16.811,6.65E+01,3.39E+01,3.12E+01
14941,16:37.9,16.875,6.69E+01,3.39E+01,3.12E+01
14942,16:38.0,16.937,6.75E+01,3.39E+01,3.12E+01
14943,16:38.0,17,6.78E+01,3.39E+01,3.13E+01
14944,16:38.1,17.06,6.80E+01,3.39E+01,3.13E+01
14945,16:38.2,17.125,6.84E+01,3.39E+01,3.13E+01
14946,16:38.2,17.188,6.88E+01,3.39E+01,3.13E+01
